# Timestep F_bot_x_ME F_bot_y_ME F_top_x_ME F_top_y_ME F_bot_x_SI F_bot_y_SI F_top_x_SI F_top_y_SI F_bot_x_FD F_top_x_FD Dissipation
0 7.66917e-06 -0.833333 7.66917e-06 0.833333 2.87594e-06 -1.66667 2.87594e-06 1.66667 2.30075e-06 2.30075e-06 3.30841e-11
100 6.90016e-05 -0.833333 6.90016e-05 0.833333 4.59995e-05 -1.66667 4.59995e-05 1.66667 4.64598e-05 4.64598e-05 8.46383e-09
200 6.90225e-05 -0.833333 6.90225e-05 0.833333 4.6015e-05 -1.66667 4.6015e-05 1.66667 4.64751e-05 4.64751e-05 8.46952e-09
300 6.90225e-05 -0.833333 6.90225e-05 0.833333 4.6015e-05 -1.66667 4.6015e-05 1.66667 4.64751e-05 4.64751e-05 8.46952e-09
15000 6.90225e-05 -0.833333 6.90225e-05 0.833333 4.6015e-05 -1.66667 4.6015e-05 1.66667 4.64751e-05 4.64751e-05 8.46952e-09
