# Timestep Y UX UY RHO
# Timestep: 0
0 0 0 0 1
0 1 4.6015e-06 0 1
0 2 4.6015e-06 0 1
0 3 4.6015e-06 0 1
0 4 4.6015e-06 0 1
0 5 4.6015e-06 0 1
0 6 4.6015e-06 0 1
0 7 4.6015e-06 0 1
0 8 4.6015e-06 0 1
0 9 4.6015e-06 0 1
0 10 4.6015e-06 0 1
0 11 4.6015e-06 0 1
0 12 4.6015e-06 0 1
0 13 4.6015e-06 0 1
0 14 4.6015e-06 0 1
0 15 4.6015e-06 0 1
0 16 4.6015e-06 0 1
0 17 4.6015e-06 0 1
0 18 4.6015e-06 0 1
0 19 0 0 1

# Timestep: 100
100 0 0 0 1
100 1 0.000226956 4.61436e-16 1
100 2 0.000453011 3.19189e-16 1
100 3 0.000615372 3.71231e-16 1
100 4 0.000728225 2.81025e-16 1
100 5 0.000803944 3.88578e-16 1
100 6 0.000852771 2.39392e-16 1
100 7 0.000882708 2.70617e-16 1
100 8 0.000899562 9.02056e-17 1
100 9 0.000907075 1.73472e-17 1
100 10 0.000907075 -1.83881e-16 1
100 11 0.000899562 -1.04083e-16 1
100 12 0.000882708 -1.9082e-16 1
100 13 0.000852771 -1.17961e-16 1
100 14 0.000803944 -3.33067e-16 1
100 15 0.000728225 -2.15106e-16 1
100 16 0.000615372 -3.85109e-16 1
100 17 0.000453011 -3.57353e-16 1
100 18 0.000226956 -4.57967e-16 1
100 19 0 0 1

# Timestep: 200
200 0 0 0 1
200 1 0.000333776 4.71845e-16 1
200 2 0.00068953 4.02456e-16 1
200 3 0.000973086 4.16334e-16 1
200 4 0.00119474 4.23273e-16 1
200 5 0.0013639 3.85109e-16 1
200 6 0.00148878 2.08167e-16 1
200 7 0.00157623 1.8735e-16 1
200 8 0.00163154 1.63064e-16 1
200 9 0.00165829 2.08167e-17 1
200 10 0.00165829 1.14492e-16 1
200 11 0.00163154 -6.59195e-17 1
200 12 0.00157623 -3.46945e-18 1
200 13 0.00148878 -2.46331e-16 1
200 14 0.0013639 -1.9082e-16 1
200 15 0.00119474 -3.36536e-16 1
200 16 0.000973086 -2.56739e-16 1
200 17 0.00068953 -4.19803e-16 1
200 18 0.000333776 -4.09395e-16 1
200 19 0 0 1

# Timestep: 300
300 0 0 0 1
300 1 0.000411369 4.30211e-16 1
300 2 0.000861898 3.36536e-16 1
300 3 0.00123519 3.33067e-16 1
300 4 0.00153896 1.94289e-16 1
300 5 0.00178028 2.84495e-16 1
300 6 0.00196537 1.83881e-16 1
300 7 0.00209944 1.59595e-16 1
300 8 0.00218651 1.21431e-16 1
300 9 0.00222935 3.46945e-18 1
300 10 0.00222935 2.42861e-17 1
300 11 0.00218651 -1.70003e-16 1
300 12 0.00209944 -9.36751e-17 1
300 13 0.00196537 -1.94289e-16 1
300 14 0.00178028 -2.498e-16 1
300 15 0.00153896 -3.40006e-16 1
300 16 0.00123519 -3.50414e-16 1
300 17 0.000861898 -4.89192e-16 1
300 18 0.000411369 -4.78784e-16 1
300 19 0 0 1

# Timestep: 400
400 0 0 0 1
400 1 0.00046948 4.82253e-16 1
400 2 0.000991031 3.57353e-16 1
400 3 0.00143166 3.60822e-16 1
400 4 0.00179717 1.66533e-16 1
400 5 0.00209286 1.49186e-16 1
400 6 0.00232342 2.42861e-17 1
400 7 0.00249276 1.38778e-16 1
400 8 0.00260392 6.59195e-17 1
400 9 0.00265897 1.21431e-16 1
400 10 0.00265897 -6.245e-17 1
400 11 0.00260392 -3.46945e-17 1
400 12 0.00249276 -1.70003e-16 1
400 13 0.00232342 -1.2837e-16 1
400 14 0.00209286 -2.70617e-16 1
400 15 0.00179717 -1.8735e-16 1
400 16 0.00143166 -4.12864e-16 1
400 17 0.000991031 -3.53884e-16 1
400 18 0.00046948 -4.71845e-16 1
400 19 0 0 1

# Timestep: 500
500 0 0 0 1
500 1 0.000513135 4.71845e-16 1
500 2 0.00108804 3.81639e-16 1
500 3 0.00157927 3.1225e-16 1
500 4 0.00199117 2.42861e-16 1
500 5 0.00232773 1.2837e-16 1
500 6 0.00259248 2.5327e-16 1
500 7 0.00278834 1.49186e-16 1
500 8 0.00291762 1.14492e-16 1
500 9 0.00298186 1.04083e-17 1
500 10 0.00298186 -6.93889e-18 1
500 11 0.00291762 -1.17961e-16 1
500 12 0.00278834 -6.245e-17 1
500 13 0.00259248 -2.32453e-16 1
500 14 0.00232773 -2.84495e-16 1
500 15 0.00199117 -3.46945e-16 1
500 16 0.00157927 -3.36536e-16 1
500 17 0.00108804 -4.47559e-16 1
500 18 0.000513135 -4.16334e-16 1
500 19 0 0 1

# Timestep: 600
600 0 0 0 1
600 1 0.000545939 4.89192e-16 1
600 2 0.00116094 3.747e-16 1
600 3 0.00169019 3.50414e-16 1
600 4 0.00213695 2.74086e-16 1
600 5 0.00250423 2.46331e-16 1
600 6 0.00279466 2.70617e-16 1
600 7 0.00301047 1.56125e-16 1
600 8 0.00315336 2.28983e-16 1
600 9 0.00322451 5.89806e-17 1
600 10 0.00322451 9.36751e-17 1
600 11 0.00315336 3.1225e-17 1
600 12 0.00301047 8.67362e-17 1
600 13 0.00279466 -2.77556e-16 1
600 14 0.00250423 -1.70003e-16 1
600 15 0.00213695 -1.8735e-16 1
600 16 0.00169019 -3.40006e-16 1
600 17 0.00116094 -3.46945e-16 1
600 18 0.000545939 -4.85723e-16 1
600 19 0 0 1

# Timestep: 700
700 0 0 0 1
700 1 0.00057059 4.33681e-16 1
700 2 0.00121572 3.67761e-16 1
700 3 0.00177354 3.53884e-16 1
700 4 0.0022465 2.91434e-16 1
700 5 0.00263686 8.67362e-17 1
700 6 0.0029466 2.67147e-16 1
700 7 0.00317739 3.46945e-18 1
700 8 0.00333051 8.67362e-17 1
700 9 0.00340685 -1.07553e-16 1
700 10 0.00340685 1.49186e-16 1
700 11 0.00333051 -1.35308e-16 1
700 12 0.00317739 1.04083e-17 1
700 13 0.0029466 -1.83881e-16 1
700 14 0.00263686 -1.73472e-16 1
700 15 0.0022465 -3.67761e-16 1
700 16 0.00177354 -3.43475e-16 1
700 17 0.00121572 -5.72459e-16 1
700 18 0.00057059 -5.41234e-16 1
700 19 0 0 1

# Timestep: 800
800 0 0 0 1
800 1 0.000589115 4.3715e-16 1
800 2 0.00125689 3.95517e-16 1
800 3 0.00183618 2.91434e-16 1
800 4 0.00232883 2.56739e-16 1
800 5 0.00273653 1.49186e-16 1
800 6 0.00306078 1.35308e-16 1
800 7 0.00330283 9.36751e-17 1
800 8 0.00346364 1.38778e-16 1
800 9 0.00354388 2.77556e-17 1
800 10 0.00354388 6.59195e-17 1
800 11 0.00346364 -6.245e-17 1
800 12 0.00330283 3.46945e-18 1
800 13 0.00306078 -1.00614e-16 1
800 14 0.00273653 -1.14492e-16 1
800 15 0.00232883 -3.26128e-16 1
800 16 0.00183618 -4.33681e-16 1
800 17 0.00125689 -5.6552e-16 1
800 18 0.000589115 -4.44089e-16 1
800 19 0 0 1

# Timestep: 900
900 0 0 0 1
900 1 0.000603036 5.20417e-16 1
900 2 0.00128783 5.13478e-16 1
900 3 0.00188325 4.23273e-16 1
900 4 0.00239069 3.71231e-16 1
900 5 0.00281143 3.43475e-16 1
900 6 0.00314658 2.60209e-16 1
900 7 0.00339709 2.04697e-16 1
900 8 0.00356368 1.52656e-16 1
900 9 0.00364685 5.55112e-17 1
900 10 0.00364685 -1.21431e-16 1
900 11 0.00356368 -2.42861e-17 1
900 12 0.00339709 -4.51028e-17 1
900 13 0.00314658 -1.2837e-16 1
900 14 0.00281143 -1.70003e-16 1
900 15 0.00239069 -3.05311e-16 1
900 16 0.00188325 -2.70617e-16 1
900 17 0.00128783 -4.54498e-16 1
900 18 0.000603036 -4.71845e-16 1
900 19 0 0 1

# Timestep: 1000
1000 0 0 0 1
1000 1 0.000613498 4.89192e-16 1
1000 2 0.00131107 3.85109e-16 1
1000 3 0.00191862 4.09395e-16 1
1000 4 0.00243718 1.17961e-16 1
1000 5 0.00286772 4.02456e-16 1
1000 6 0.00321106 2.98372e-16 1
1000 7 0.00346793 3.46945e-16 1
1000 8 0.00363886 1.9082e-16 1
1000 9 0.00372423 2.25514e-16 1
1000 10 0.00372423 1.56125e-16 1
1000 11 0.00363886 2.42861e-16 1
1000 12 0.00346793 2.25514e-16 1
1000 13 0.00321106 -3.1225e-17 1
1000 14 0.00286772 -3.98986e-16 1
1000 15 0.00243718 -4.16334e-16 1
1000 16 0.00191862 -4.68375e-16 1
1000 17 0.00131107 -4.19803e-16 1
1000 18 0.000613498 -4.71845e-16 1
1000 19 0 0 1

# Timestep: 1100
1100 0 0 0 1
1100 1 0.000621359 5.93275e-16 1
1100 2 0.00132855 5.20417e-16 1
1100 3 0.0019452 3.67761e-16 1
1100 4 0.00247212 2.46331e-16 1
1100 5 0.00291001 2.32453e-16 1
1100 6 0.00325952 2.11636e-16 1
1100 7 0.00352116 2.32453e-16 1
