# Timestep RelativeVelocityChange
0 1.000000e+00
100 8.598202e-03
200 3.700200e-03
300 2.104170e-03
400 1.336663e-03
500 8.998372e-04
600 6.271056e-04
700 4.468677e-04
800 3.232390e-04
900 2.362594e-04
1000 1.739658e-04
1100 1.287810e-04
1200 9.570297e-05
1300 7.132428e-05
1400 5.326774e-05
1500 3.984465e-05
1600 2.983878e-05
1700 2.236502e-05
1800 1.677411e-05
1900 1.258695e-05
2000 9.448434e-06
2100 7.094431e-06
2200 5.328000e-06
2300 4.002005e-06
2400 3.006361e-06
2500 2.258616e-06
2600 1.696961e-06
2700 1.275036e-06
2800 9.580518e-07
2900 7.198924e-07
3000 5.409475e-07
3100 4.064897e-07
3200 3.054562e-07
3300 2.295367e-07
3400 1.724878e-07
3500 1.296184e-07
3600 9.740392e-08
3700 7.319603e-08
3800 5.500467e-08
3900 4.133446e-08
4000 3.106172e-08
4100 2.334206e-08
4200 1.754095e-08
4300 1.318157e-08
4400 9.905615e-09
4500 7.443819e-09
4600 5.593840e-09
4700 4.203631e-09
4800 3.158924e-09
4900 2.373851e-09
5000 1.783894e-09
5100 1.340549e-09
5200 1.007393e-09
5300 7.570298e-10
5400 5.688894e-10
5500 4.275046e-10
5600 3.212570e-10
5700 2.414249e-10
5800 1.814201e-10
5900 1.363374e-10
6000 1.024532e-10
6100 7.698712e-11
