# Timestep F_bot_x_ME F_bot_y_ME F_top_x_ME F_top_y_ME F_bot_x_SI F_bot_y_SI F_top_x_SI F_top_y_SI F_bot_x_FD F_top_x_FD Dissipation
4500 0.00165654 -3.33333 0.00165654 3.33333 0.00156451 -6.66667 0.00156451 6.66667 0.00129026 0.00129026 8.20692e-06
4600 0.00165654 -3.33333 0.00165654 3.33333 0.00156451 -6.66667 0.00156451 6.66667 0.00129026 0.00129026 8.20693e-06
4700 0.00165654 -3.33333 0.00165654 3.33333 0.00156451 -6.66667 0.00156451 6.66667 0.00129026 0.00129026 8.20694e-06
4800 0.00165654 -3.33333 0.00165654 3.33333 0.00156451 -6.66667 0.00156451 6.66667 0.00129026 0.00129026 8.20695e-06
4900 0.00165654 -3.33333 0.00165654 3.33333 0.00156451 -6.66667 0.00156451 6.66667 0.00129026 0.00129026 8.20695e-06
5000 0.00165654 -3.33333 0.00165654 3.33333 0.00156451 -6.66667 0.00156451 6.66667 0.00129026 0.00129026 8.20696e-06
5100 0.00165654 -3.33333 0.00165654 3.33333 0.00156451 -6.66667 0.00156451 6.66667 0.00129026 0.00129026 8.20696e-06
5200 0.00165654 -3.33333 0.00165654 3.33333 0.00156451 -6.66667 0.00156451 6.66667 0.00129026 0.00129026 8.20696e-06
5300 0.00165654 -3.33333 0.00165654 3.33333 0.00156451 -6.66667 0.00156451 6.66667 0.00129026 0.00129026 8.20696e-06
5400 0.00165654 -3.33333 0.00165654 3.33333 0.00156451 -6.66667 0.00156451 6.66667 0.00129026 0.00129026 8.20696e-06
5500 0.00165654 -3.33333 0.00165654 3.33333 0.00156451 -6.66667 0.00156451 6.66667 0.00129026 0.00129026 8.20696e-06
5600 0.00165654 -3.33333 0.00165654 3.33333 0.00156451 -6.66667 0.00156451 6.66667 0.00129026 0.00129026 8.20696e-06
5700 0.00165654 -3.33333 0.00165654 3.33333 0.00156451 -6.66667 0.00156451 6.66667 0.00129026 0.00129026 8.20696e-06
5800 0.00165654 -3.33333 0.00165654 3.33333 0.00156451 -6.66667 0.00156451 6.66667 0.00129026 0.00129026 8.20696e-06
5900 0.00165654 -3.33333 0.00165654 3.33333 0.00156451 -6.66667 0.00156451 6.66667 0.00129026 0.00129026 8.20696e-06
6000 0.00165654 -3.33333 0.00165654 3.33333 0.00156451 -6.66667 0.00156451 6.66667 0.00129026 0.00129026 8.20697e-06
6100 0.00165654 -3.33333 0.00165654 3.33333 0.00156451 -6.66667 0.00156451 6.66667 0.00129026 0.00129026 8.20697e-06
15000 0.00165654 -3.33333 0.00165654 3.33333 0.00156451 -6.66667 0.00156451 6.66667 0.00129026 0.00129026 8.20697e-06
