# Timestep Y UX UY RHO
# Timestep: 0
0 0 0 0 1
0 1 4.6015e-06 0 1
0 2 4.6015e-06 0 1
0 3 4.6015e-06 0 1
0 4 4.6015e-06 0 1
0 5 4.6015e-06 0 1
0 6 4.6015e-06 0 1
0 7 4.6015e-06 0 1
0 8 4.6015e-06 0 1
0 9 4.6015e-06 0 1
0 10 0 0 1

# Timestep: 100
100 0 0 0 1
100 1 0.000194688 7.97973e-17 1
100 2 0.00038056 8.32667e-17 1
100 3 0.000504978 3.1225e-17 1
100 4 0.000576103 -1.73472e-17 1
100 5 0.000599204 -3.81639e-17 1
100 6 0.000576103 -6.93889e-17 1
100 7 0.000504978 -1.42247e-16 1
100 8 0.00038056 -1.38778e-16 1
100 9 0.000194688 -2.08167e-16 1
100 10 0 0 1

# Timestep: 200
200 0 0 0 1
200 1 0.000249751 1.9082e-16 1
200 2 0.000498755 1.59595e-16 1
200 3 0.000673759 7.97973e-17 1
200 4 0.000777554 -4.85723e-17 1
200 5 0.000811945 -6.245e-17 1
200 6 0.000777554 -2.77556e-17 1
200 7 0.000673759 -1.21431e-16 1
200 8 0.000498755 -2.70617e-16 1
200 9 0.000249751 -1.94289e-16 1
200 10 0 0 1

# Timestep: 300
300 0 0 0 1
300 1 0.000268591 1.63064e-16 1
300 2 0.000539197 1.66533e-16 1
300 3 0.00073151 9.71445e-17 1
300 4 0.000846484 1.49186e-16 1
300 5 0.000884738 7.28584e-17 1
300 6 0.000846484 -1.04083e-17 1
300 7 0.00073151 -5.89806e-17 1
300 8 0.000539197 -1.14492e-16 1
300 9 0.000268591 -1.94289e-16 1
300 10 0 0 1

# Timestep: 400
400 0 0 0 1
400 1 0.000275038 1.83881e-16 1
400 2 0.000553035 1.63064e-16 1
400 3 0.00075127 -1.04083e-17 1
400 4 0.00087007 7.97973e-17 1
400 5 0.000909645 -2.42861e-17 1
400 6 0.00087007 -5.55112e-17 1
400 7 0.00075127 -5.89806e-17 1
400 8 0.000553035 -9.36751e-17 1
400 9 0.000275038 -1.52656e-16 1
400 10 0 0 1

# Timestep: 500
500 0 0 0 1
500 1 0.000277243 1.49186e-16 1
500 2 0.00055777 1.2837e-16 1
500 3 0.000758031 6.93889e-17 1
500 4 0.00087814 6.59195e-17 1
500 5 0.000918168 -4.51028e-17 1
500 6 0.00087814 -6.93889e-18 1
500 7 0.000758031 -6.245e-17 1
500 8 0.00055777 -1.9082e-16 1
500 9 0.000277243 -2.08167e-16 1
500 10 0 0 1

# Timestep: 600
600 0 0 0 1
600 1 0.000277998 1.49186e-16 1
600 2 0.00055939 1.49186e-16 1
600 3 0.000760345 1.83881e-16 1
600 4 0.000880901 1.45717e-16 1
600 5 0.000921084 -1.38778e-17 1
600 6 0.000880901 -1.49186e-16 1
600 7 0.000760345 -1.17961e-16 1
600 8 0.00055939 -5.20417e-17 1
600 9 0.000277998 -1.45717e-16 1
600 10 0 0 1

# Timestep: 700
700 0 0 0 1
700 1 0.000278256 1.45717e-16 1
700 2 0.000559944 2.08167e-16 1
700 3 0.000761136 1.56125e-16 1
700 4 0.000881846 1.35308e-16 1
700 5 0.000922082 4.51028e-17 1
700 6 0.000881846 0 1
700 7 0.000761136 -9.71445e-17 1
700 8 0.000559944 -2.01228e-16 1
700 9 0.000278256 -1.59595e-16 1
700 10 0 0 1

# Timestep: 800
800 0 0 0 1
800 1 0.000278345 2.01228e-16 1
800 2 0.000560134 1.66533e-16 1
800 3 0.000761407 0 1
800 4 0.000882169 3.81639e-17 1
800 5 0.000922423 -1.73472e-17 1
800 6 0.000882169 1.04083e-17 1
800 7 0.000761407 -4.51028e-17 1
800 8 0.000560134 -1.56125e-16 1
800 9 0.000278345 -1.59595e-16 1
800 10 0 0 1

# Timestep: 900
900 0 0 0 1
900 1 0.000278375 1.21431e-16 1
900 2 0.000560199 3.46945e-17 1
900 3 0.0007615 6.93889e-18 1
900 4 0.00088228 6.59195e-17 1
900 5 0.00092254 4.85723e-17 1
900 6 0.00088228 -6.245e-17 1
900 7 0.0007615 -1.83881e-16 1
900 8 0.000560199 -2.32453e-16 1
900 9 0.000278375 -8.32667e-17 1
900 10 0 0 1

# Timestep: 1000
1000 0 0 0 1
1000 1 0.000278385 1.63064e-16 1
1000 2 0.000560221 1.00614e-16 1
1000 3 0.000761532 2.08167e-17 1
1000 4 0.000882318 3.46945e-17 1
1000 5 0.00092258 -6.93889e-18 1
1000 6 0.000882318 -1.04083e-17 1
1000 7 0.000761532 6.93889e-17 1
1000 8 0.000560221 -1.59595e-16 1
1000 9 0.000278385 -1.80411e-16 1
1000 10 0 0 1

# Timestep: 1100
1100 0 0 0 1
1100 1 0.000278389 2.04697e-16 1
1100 2 0.000560229 3.01842e-16 1
1100 3 0.000761543 1.00614e-16 1
1100 4 0.000882331 1.80411e-16 1
1100 5 0.000922594 2.77556e-17 1
1100 6 0.000882331 3.1225e-17 1
1100 7 0.000761543 -1.00614e-16 1
1100 8 0.000560229 -2.5327e-16 1
1100 9 0.000278389 -2.498e-16 1
1100 10 0 0 1

# Timestep: 1200
1200 0 0 0 1
1200 1 0.00027839 2.98372e-16 1
1200 2 0.000560231 3.88578e-16 1
1200 3 0.000761546 2.39392e-16 1
1200 4 0.000882335 1.38778e-16 1
1200 5 0.000922598 1.73472e-17 1
1200 6 0.000882335 -9.02056e-17 1
1200 7 0.000761546 -1.2837e-16 1
1200 8 0.000560231 -2.94903e-16 1
1200 9 0.00027839 -2.498e-16 1
1200 10 0 0 1

# Timestep: 1300
1300 0 0 0 1
1300 1 0.000278391 2.11636e-16 1
1300 2 0.000560232 9.02056e-17 1
1300 3 0.000761548 7.97973e-17 1
1300 4 0.000882337 1.83881e-16 1
1300 5 0.0009226 -1.73472e-17 1
1300 6 0.000882337 -7.63278e-17 1
1300 7 0.000761548 -1.11022e-16 1
1300 8 0.000560232 -1.38778e-16 1
1300 9 0.000278391 -1.38778e-16 1
1300 10 0 0 1

# Timestep: 1400
1400 0 0 0 1
1400 1 0.000278391 3.43475e-16 1
1400 2 0.000560232 3.92048e-16 1
1400 3 0.000761548 2.42861e-16 1
1400 4 0.000882337 -7.63278e-17 1
1400 5 0.0009226 -3.46945e-18 1
1400 6 0.000882337 -1.8735e-16 1
1400 7 0.000761548 -2.60209e-16 1
1400 8 0.000560232 -3.81639e-16 1
1400 9 0.000278391 -3.05311e-16 1
1400 10 0 0 1

# Timestep: 1500
1500 0 0 0 1
1500 1 0.000278391 2.39392e-16 1
1500 2 0.000560233 2.70617e-16 1
1500 3 0.000761548 1.73472e-16 1
1500 4 0.000882338 4.51028e-17 1
1500 5 0.000922601 -1.73472e-17 1
1500 6 0.000882338 -3.46945e-17 1
1500 7 0.000761548 -1.38778e-16 1
1500 8 0.000560233 -2.11636e-16 1
1500 9 0.000278391 -1.8735e-16 1
1500 10 0 0 1

# Timestep: 1600
1600 0 0 0 1
1600 1 0.000278391 2.87964e-16 1
1600 2 0.000560233 3.29597e-16 1
1600 3 0.000761548 2.498e-16 1
1600 4 0.000882338 1.49186e-16 1
1600 5 0.000922601 -1.38778e-17 1
1600 6 0.000882338 -2.77556e-17 1
1600 7 0.000761548 -1.42247e-16 1
1600 8 0.000560233 -2.35922e-16 1
1600 9 0.000278391 -1.66533e-16 1
1600 10 0 0 1

# Timestep: 1700
1700 0 0 0 1
1700 1 0.000278391 1.42247e-16 1
1700 2 0.000560233 1.66533e-16 1
1700 3 0.000761548 8.67362e-17 1
1700 4 0.000882338 3.46945e-18 1
1700 5 0.000922601 5.20417e-17 1
1700 6 0.000882338 -1.38778e-17 1
1700 7 0.000761548 -1.97758e-16 1
1700 8 0.000560233 -2.22045e-16 1
1700 9 0.000278391 -1.66533e-16 1
1700 10 0 0 1

# Timestep: 1800
1800 0 0 0 1
1800 1 0.000278391 1.70003e-16 1
1800 2 0.000560233 2.15106e-16 1
1800 3 0.000761548 2.18575e-16 1
1800 4 0.000882338 1.2837e-16 1
1800 5 0.000922601 -8.32667e-17 1
1800 6 0.000882338 -9.36751e-17 1
1800 7 0.000761548 -1.49186e-16 1
1800 8 0.000560233 -2.91434e-16 1
1800 9 0.000278391 -3.05311e-16 1
1800 10 0 0 1

# Timestep: 15000
15000 0 0 0 1
15000 1 0.000278391 1.70003e-16 1
15000 2 0.000560233 2.15106e-16 1
15000 3 0.000761548 2.18575e-16 1
15000 4 0.000882338 1.2837e-16 1
15000 5 0.000922601 -8.32667e-17 1
15000 6 0.000882338 -9.36751e-17 1
15000 7 0.000761548 -1.49186e-16 1
15000 8 0.000560233 -2.91434e-16 1
15000 9 0.000278391 -3.05311e-16 1
15000 10 0 0 1

