# Timestep F_bot_x_ME F_bot_y_ME F_top_x_ME F_top_y_ME F_bot_x_SI F_bot_y_SI F_top_x_SI F_top_y_SI F_bot_x_FD F_top_x_FD Dissipation
0 1.68722e-05 -1.83333 1.68722e-05 1.83333 1.51849e-05 -3.66667 1.51849e-05 3.66667 7.59247e-05 7.59247e-05 2.79494e-11
100 0.000443689 -1.83333 0.000443689 1.83333 0.000394354 -3.66667 0.000394354 3.66667 0.00352381 0.00352381 3.53004e-08
200 0.000455211 -1.83333 0.000455211 1.83333 0.000404631 -3.66667 0.000404631 3.66667 0.00361637 0.00361637 3.72092e-08
300 0.000455539 -1.83333 0.000455539 1.83333 0.000404923 -3.66667 0.000404923 3.66667 0.003619 0.003619 3.72643e-08
400 0.000455548 -1.83333 0.000455548 1.83333 0.000404932 -3.66667 0.000404932 3.66667 0.00361908 0.00361908 3.72658e-08
500 0.000455548 -1.83333 0.000455548 1.83333 0.000404932 -3.66667 0.000404932 3.66667 0.00361908 0.00361908 3.72659e-08
600 0.000455548 -1.83333 0.000455548 1.83333 0.000404932 -3.66667 0.000404932 3.66667 0.00361908 0.00361908 3.72659e-08
15000 0.000455548 -1.83333 0.000455548 1.83333 0.000404932 -3.66667 0.000404932 3.66667 0.00361908 0.00361908 3.72659e-08
