# Timestep Y UX UY RHO
# Timestep: 0
0 0 0 0 1
0 1 4.6015e-06 0 1
0 2 4.6015e-06 0 1
0 3 4.6015e-06 0 1
0 4 4.6015e-06 0 1
0 5 4.6015e-06 0 1
0 6 4.6015e-06 0 1
0 7 4.6015e-06 0 1
0 8 4.6015e-06 0 1
0 9 4.6015e-06 0 1
0 10 0 0 1

# Timestep: 100
100 0 0 0 1
100 1 0.000213565 -1.63064e-16 1
100 2 0.000234242 -9.36751e-17 1
100 3 0.000248994 -8.67362e-17 1
100 4 0.000257838 -1.73472e-17 1
100 5 0.000260785 3.46945e-18 1
100 6 0.000257838 4.16334e-17 1
100 7 0.000248994 1.35308e-16 1
100 8 0.000234242 1.56125e-16 1
100 9 0.000213565 1.94289e-16 1
100 10 0 0 1

# Timestep: 200
200 0 0 0 1
200 1 0.000219174 -1.73472e-16 1
200 2 0.000240625 -1.35308e-16 1
200 3 0.000255946 -9.71445e-17 1
200 4 0.000265139 -6.93889e-17 1
200 5 0.000268203 3.46945e-17 1
200 6 0.000265139 2.08167e-17 1
200 7 0.000255946 8.67362e-17 1
200 8 0.000240625 1.38778e-16 1
200 9 0.000219174 1.80411e-16 1
200 10 0 0 1

# Timestep: 300
300 0 0 0 1
300 1 0.000219333 -2.22045e-16 1
300 2 0.000240807 -1.21431e-16 1
300 3 0.000256144 -8.67362e-17 1
300 4 0.000265347 -5.20417e-17 1
300 5 0.000268415 -3.46945e-18 1
300 6 0.000265347 7.63278e-17 1
300 7 0.000256144 9.71445e-17 1
300 8 0.000240807 1.76942e-16 1
300 9 0.000219333 2.22045e-16 1
300 10 0 0 1

# Timestep: 400
400 0 0 0 1
400 1 0.000219338 -2.28983e-16 1
400 2 0.000240812 -1.42247e-16 1
400 3 0.00025615 -5.89806e-17 1
400 4 0.000265353 -3.46945e-17 1
400 5 0.000268421 3.46945e-17 1
400 6 0.000265353 6.245e-17 1
400 7 0.00025615 1.14492e-16 1
400 8 0.000240812 1.8735e-16 1
400 9 0.000219338 2.35922e-16 1
400 10 0 0 1

# Timestep: 500
500 0 0 0 1
500 1 0.000219338 -2.25514e-16 1
500 2 0.000240812 -2.01228e-16 1
500 3 0.00025615 -1.04083e-16 1
500 4 0.000265353 -6.245e-17 1
500 5 0.000268421 -2.08167e-17 1
500 6 0.000265353 3.46945e-17 1
500 7 0.00025615 1.04083e-16 1
500 8 0.000240812 1.97758e-16 1
500 9 0.000219338 2.498e-16 1
500 10 0 0 1

# Timestep: 600
600 0 0 0 1
600 1 0.000219338 -2.22045e-16 1
600 2 0.000240812 -1.80411e-16 1
600 3 0.00025615 -1.14492e-16 1
600 4 0.000265353 -5.89806e-17 1
600 5 0.000268421 6.93889e-18 1
600 6 0.000265353 4.16334e-17 1
600 7 0.00025615 1.249e-16 1
600 8 0.000240812 2.04697e-16 1
600 9 0.000219338 2.56739e-16 1
600 10 0 0 1

# Timestep: 15000
15000 0 0 0 1
15000 1 0.000219338 -2.22045e-16 1
15000 2 0.000240812 -1.80411e-16 1
15000 3 0.00025615 -1.14492e-16 1
15000 4 0.000265353 -5.89806e-17 1
15000 5 0.000268421 6.93889e-18 1
15000 6 0.000265353 4.16334e-17 1
15000 7 0.00025615 1.249e-16 1
15000 8 0.000240812 2.04697e-16 1
15000 9 0.000219338 2.56739e-16 1
15000 10 0 0 1

