# Timestep F_bot_x_ME F_bot_y_ME F_top_x_ME F_top_y_ME F_bot_x_SI F_bot_y_SI F_top_x_SI F_top_y_SI F_bot_x_FD F_top_x_FD Dissipation
0 1.53383e-05 -1.66667 1.53383e-05 1.66667 5.75187e-06 -3.33333 5.75187e-06 3.33333 4.6015e-06 4.6015e-06 6.61681e-11
100 0.000286246 -1.66667 0.000286246 1.66667 0.00024419 -3.33333 0.00024419 3.33333 0.000212441 0.000212441 1.94406e-07
200 0.000346768 -1.66667 0.000346768 1.66667 0.000301786 -3.33333 0.000301786 3.33333 0.000260171 0.000260171 3.08935e-07
300 0.000362552 -1.66667 0.000362552 1.66667 0.000316806 -3.33333 0.000316806 3.33333 0.000272619 0.000272619 3.43198e-07
400 0.000366668 -1.66667 0.000366668 1.66667 0.000320723 -3.33333 0.000320723 3.33333 0.000275865 0.000275865 3.52433e-07
500 0.000367741 -1.66667 0.000367741 1.66667 0.000321745 -3.33333 0.000321745 3.33333 0.000276712 0.000276712 3.54861e-07
600 0.000368021 -1.66667 0.000368021 1.66667 0.000322011 -3.33333 0.000322011 3.33333 0.000276932 0.000276932 3.55496e-07
700 0.000368094 -1.66667 0.000368094 1.66667 0.00032208 -3.33333 0.00032208 3.33333 0.00027699 0.00027699 3.55661e-07
800 0.000368113 -1.66667 0.000368113 1.66667 0.000322099 -3.33333 0.000322099 3.33333 0.000277005 0.000277005 3.55705e-07
900 0.000368118 -1.66667 0.000368118 1.66667 0.000322103 -3.33333 0.000322103 3.33333 0.000277009 0.000277009 3.55716e-07
1000 0.00036812 -1.66667 0.00036812 1.66667 0.000322105 -3.33333 0.000322105 3.33333 0.00027701 0.00027701 3.55719e-07
1100 0.00036812 -1.66667 0.00036812 1.66667 0.000322105 -3.33333 0.000322105 3.33333 0.00027701 0.00027701 3.5572e-07
1200 0.00036812 -1.66667 0.00036812 1.66667 0.000322105 -3.33333 0.000322105 3.33333 0.00027701 0.00027701 3.5572e-07
1300 0.00036812 -1.66667 0.00036812 1.66667 0.000322105 -3.33333 0.000322105 3.33333 0.00027701 0.00027701 3.5572e-07
1400 0.00036812 -1.66667 0.00036812 1.66667 0.000322105 -3.33333 0.000322105 3.33333 0.00027701 0.00027701 3.5572e-07
15000 0.00036812 -1.66667 0.00036812 1.66667 0.000322105 -3.33333 0.000322105 3.33333 0.00027701 0.00027701 3.5572e-07
