# Timestep RelativeVelocityChange
0 1.000000e+00
100 4.746717e-03
200 9.804123e-04
300 2.425200e-04
400 6.240808e-05
500 1.621909e-05
600 4.225904e-06
700 1.101795e-06
800 2.873143e-07
900 7.492610e-08
1000 1.953952e-08
1100 5.095615e-09
1200 1.328847e-09
1300 3.465412e-10
1400 9.040445e-11
