# Timestep F_bot_x_ME F_bot_y_ME F_top_x_ME F_top_y_ME F_bot_x_SI F_bot_y_SI F_top_x_SI F_top_y_SI F_bot_x_FD F_top_x_FD Dissipation
0 2.3621e-05 -1.83333 2.3621e-05 1.83333 2.12589e-05 -3.66667 2.12589e-05 3.66667 7.59247e-05 7.59247e-05 5.47809e-11
100 0.000635313 -1.83333 0.000635313 1.83333 0.000564739 -3.66667 0.000564739 3.66667 0.0033227 0.0033227 7.24721e-08
200 0.000637758 -1.83333 0.000637758 1.83333 0.000566896 -3.66667 0.000566896 3.66667 0.00333558 0.00333558 7.3039e-08
300 0.000637768 -1.83333 0.000637768 1.83333 0.000566905 -3.66667 0.000566905 3.66667 0.00333563 0.00333563 7.30411e-08
400 0.000637768 -1.83333 0.000637768 1.83333 0.000566905 -3.66667 0.000566905 3.66667 0.00333563 0.00333563 7.30411e-08
15000 0.000637768 -1.83333 0.000637768 1.83333 0.000566905 -3.66667 0.000566905 3.66667 0.00333563 0.00333563 7.30411e-08
