# Timestep Y UX UY RHO
# Timestep: 0
0 0 0 0 1
0 1 4.6015e-06 0 1
0 2 4.6015e-06 0 1
0 3 4.6015e-06 0 1
0 4 4.6015e-06 0 1
0 5 4.6015e-06 0 1
0 6 4.6015e-06 0 1
0 7 4.6015e-06 0 1
0 8 4.6015e-06 0 1
0 9 4.6015e-06 0 1
0 10 0 0 1

# Timestep: 100
100 0 0 0 1
100 1 0.000201376 3.81639e-17 1
100 2 0.000231341 3.81639e-17 1
100 3 0.000252742 3.46945e-17 1
100 4 0.000265583 -1.38778e-17 1
100 5 0.000269862 -5.89806e-17 1
100 6 0.000265583 -3.46945e-17 1
100 7 0.000252742 -3.46945e-17 1
100 8 0.000231341 -2.42861e-17 1
100 9 0.000201376 -8.32667e-17 1
100 10 0 0 1

# Timestep: 200
200 0 0 0 1
200 1 0.000202156 2.77556e-17 1
200 2 0.000232219 3.81639e-17 1
200 3 0.000253692 6.59195e-17 1
200 4 0.000266576 3.1225e-17 1
200 5 0.000270871 -1.04083e-17 1
200 6 0.000266576 -2.42861e-17 1
200 7 0.000253692 -2.42861e-17 1
200 8 0.000232219 -5.55112e-17 1
200 9 0.000202156 -4.16334e-17 1
200 10 0 0 1

# Timestep: 300
300 0 0 0 1
300 1 0.000202159 5.55112e-17 1
300 2 0.000232222 -1.04083e-17 1
300 3 0.000253696 3.1225e-17 1
300 4 0.00026658 -3.1225e-17 1
300 5 0.000270875 3.46945e-18 1
300 6 0.00026658 -3.46945e-18 1
300 7 0.000253696 -5.89806e-17 1
300 8 0.000232222 -6.93889e-18 1
300 9 0.000202159 -6.245e-17 1
300 10 0 0 1

# Timestep: 400
400 0 0 0 1
400 1 0.000202159 1.00614e-16 1
400 2 0.000232222 5.89806e-17 1
400 3 0.000253696 2.77556e-17 1
400 4 0.00026658 2.42861e-17 1
400 5 0.000270875 3.46945e-18 1
400 6 0.00026658 -1.73472e-17 1
400 7 0.000253696 -4.51028e-17 1
400 8 0.000232222 -3.1225e-17 1
400 9 0.000202159 -9.71445e-17 1
400 10 0 0 1

# Timestep: 15000
15000 0 0 0 1
15000 1 0.000202159 1.00614e-16 1
15000 2 0.000232222 5.89806e-17 1
15000 3 0.000253696 2.77556e-17 1
15000 4 0.00026658 2.42861e-17 1
15000 5 0.000270875 3.46945e-18 1
15000 6 0.00026658 -1.73472e-17 1
15000 7 0.000253696 -4.51028e-17 1
15000 8 0.000232222 -3.1225e-17 1
15000 9 0.000202159 -9.71445e-17 1
15000 10 0 0 1

