0.05	0.1256194320652243	-2.7755575615629037e-14	3.0	1.0
0.15	0.3330523001001335	0.0	3.0	1.0
0.25	0.47729919994298764	-1.7000290064572778e-13	3.0	1.0
0.35	0.5677324956499442	-4.857225732735079e-14	3.0	1.0
0.45	0.6111599634275686	-2.32452945780893e-13	3.0	1.0
0.55	0.6111599634275686	8.673617379884067e-14	3.0	1.0
0.65	0.5677324956500238	-1.9428902930940305e-13	3.0	1.0
0.75	0.4772991999430081	6.591949208711888e-14	3.0	1.0
0.85	0.333052300100161	-2.359223927328466e-13	3.0	1.0
0.95	0.125619432065193	1.1102230246251607e-13	3.0	1.0
