# Timestep RelativeVelocityChange
0 1.000000e+00
100 5.569779e-03
200 1.413039e-03
300 4.427748e-04
400 1.468036e-04
500 4.955148e-05
600 1.682516e-05
700 5.724456e-06
800 1.948972e-06
900 6.637092e-07
1000 2.260396e-07
1100 7.698442e-08
1200 2.621952e-08
1300 8.929933e-09
1400 3.041379e-09
1500 1.035857e-09
1600 3.528180e-10
1700 1.201737e-10
1800 4.091177e-11
