# Timestep F_bot_x_ME F_bot_y_ME F_top_x_ME F_top_y_ME F_bot_x_SI F_bot_y_SI F_top_x_SI F_top_y_SI F_bot_x_FD F_top_x_FD Dissipation
1800 0.00524897 -6.66667 0.00524897 6.66667 0.00506914 -13.3333 0.00506914 13.3333 0.00413022 0.00413022 7.5793e-05
1900 0.00536088 -6.66667 0.00536088 6.66667 0.00518078 -13.3333 0.00518078 13.3333 0.00421968 0.00421968 8.0005e-05
2000 0.00546561 -6.66667 0.00546561 6.66667 0.00528526 -13.3333 0.00528526 13.3333 0.00430341 0.00430341 8.40531e-05
2100 0.00556362 -6.66667 0.00556362 6.66667 0.00538303 -13.3333 0.00538303 13.3333 0.00438176 0.00438176 8.79343e-05
2200 0.00565535 -6.66667 0.00565535 6.66667 0.00547454 -13.3333 0.00547454 13.3333 0.00445509 0.00445509 9.16481e-05
2300 0.0057412 -6.66667 0.0057412 6.66667 0.00556018 -13.3333 0.00556018 13.3333 0.00452372 0.00452372 9.5195e-05
2400 0.00582154 -6.66667 0.00582154 6.66667 0.00564033 -13.3333 0.00564033 13.3333 0.00458795 0.00458795 9.85768e-05
2500 0.00589673 -6.66667 0.00589673 6.66667 0.00571534 -13.3333 0.00571534 13.3333 0.00464806 0.00464806 0.000101796
2600 0.0059671 -6.66667 0.0059671 6.66667 0.00578554 -13.3333 0.00578554 13.3333 0.00470432 0.00470432 0.000104858
2700 0.00603296 -6.66667 0.00603296 6.66667 0.00585124 -13.3333 0.00585124 13.3333 0.00475697 0.00475697 0.000107764
2800 0.0060946 -6.66667 0.0060946 6.66667 0.00591272 -13.3333 0.00591272 13.3333 0.00480625 0.00480625 0.000110521
2900 0.00615228 -6.66667 0.00615228 6.66667 0.00597027 -13.3333 0.00597027 13.3333 0.00485236 0.00485236 0.000113134
3000 0.00620627 -6.66667 0.00620627 6.66667 0.00602412 -13.3333 0.00602412 13.3333 0.00489552 0.00489552 0.000115607
3100 0.00625679 -6.66667 0.00625679 6.66667 0.00607452 -13.3333 0.00607452 13.3333 0.00493591 0.00493591 0.000117946
3200 0.00630408 -6.66667 0.00630408 6.66667 0.00612169 -13.3333 0.00612169 13.3333 0.00497371 0.00497371 0.000120157
3300 0.00634833 -6.66667 0.00634833 6.66667 0.00616584 -13.3333 0.00616584 13.3333 0.00500909 0.00500909 0.000122245
3400 0.00638975 -6.66667 0.00638975 6.66667 0.00620716 -13.3333 0.00620716 13.3333 0.0050422 0.0050422 0.000124216
3500 0.00642851 -6.66667 0.00642851 6.66667 0.00624582 -13.3333 0.00624582 13.3333 0.00507318 0.00507318 0.000126075
3600 0.00646478 -6.66667 0.00646478 6.66667 0.00628201 -13.3333 0.00628201 13.3333 0.00510218 0.00510218 0.000127827
3700 0.00649873 -6.66667 0.00649873 6.66667 0.00631588 -13.3333 0.00631588 13.3333 0.00512932 0.00512932 0.000129478
3800 0.00653051 -6.66667 0.00653051 6.66667 0.00634757 -13.3333 0.00634757 13.3333 0.00515472 0.00515472 0.000131033
3900 0.00656024 -6.66667 0.00656024 6.66667 0.00637723 -13.3333 0.00637723 13.3333 0.0051785 0.0051785 0.000132497
4000 0.00658807 -6.66667 0.00658807 6.66667 0.006405 -13.3333 0.006405 13.3333 0.00520074 0.00520074 0.000133875
4100 0.00661411 -6.66667 0.00661411 6.66667 0.00643098 -13.3333 0.00643098 13.3333 0.00522156 0.00522156 0.00013517
4200 0.00663849 -6.66667 0.00663849 6.66667 0.00645529 -13.3333 0.00645529 13.3333 0.00524105 0.00524105 0.000136389
4300 0.0066613 -6.66667 0.0066613 6.66667 0.00647805 -13.3333 0.00647805 13.3333 0.00525929 0.00525929 0.000137534
4400 0.00668265 -6.66667 0.00668265 6.66667 0.00649935 -13.3333 0.00649935 13.3333 0.00527635 0.00527635 0.000138611
4500 0.00670263 -6.66667 0.00670263 6.66667 0.00651928 -13.3333 0.00651928 13.3333 0.00529233 0.00529233 0.000139622
4600 0.00672133 -6.66667 0.00672133 6.66667 0.00653793 -13.3333 0.00653793 13.3333 0.00530728 0.00530728 0.000140571
4700 0.00673883 -6.66667 0.00673883 6.66667 0.00655539 -13.3333 0.00655539 13.3333 0.00532127 0.00532127 0.000141463
4800 0.00675521 -6.66667 0.00675521 6.66667 0.00657173 -13.3333 0.00657173 13.3333 0.00533436 0.00533436 0.0001423
4900 0.00677054 -6.66667 0.00677054 6.66667 0.00658702 -13.3333 0.00658702 13.3333 0.00534661 0.00534661 0.000143086
5000 0.00678488 -6.66667 0.00678488 6.66667 0.00660133 -13.3333 0.00660133 13.3333 0.00535808 0.00535808 0.000143824
5100 0.00679831 -6.66667 0.00679831 6.66667 0.00661473 -13.3333 0.00661473 13.3333 0.00536882 0.00536882 0.000144515
5200 0.00681087 -6.66667 0.00681087 6.66667 0.00662726 -13.3333 0.00662726 13.3333 0.00537886 0.00537886 0.000145164
5300 0.00682263 -6.66667 0.00682263 6.66667 0.00663899 -13.3333 0.00663899 13.3333 0.00538826 0.00538826 0.000145773
5400 0.00683364 -6.66667 0.00683364 6.66667 0.00664997 -13.3333 0.00664997 13.3333 0.00539706 0.00539706 0.000146344
5500 0.00684394 -6.66667 0.00684394 6.66667 0.00666024 -13.3333 0.00666024 13.3333 0.00540529 0.00540529 0.000146879
5600 0.00685358 -6.66667 0.00685358 6.66667 0.00666986 -13.3333 0.00666986 13.3333 0.005413 0.005413 0.000147381
5700 0.0068626 -6.66667 0.0068626 6.66667 0.00667886 -13.3333 0.00667886 13.3333 0.00542021 0.00542021 0.000147852
5800 0.00687104 -6.66667 0.00687104 6.66667 0.00668728 -13.3333 0.00668728 13.3333 0.00542696 0.00542696 0.000148293
5900 0.00687894 -6.66667 0.00687894 6.66667 0.00669516 -13.3333 0.00669516 13.3333 0.00543328 0.00543328 0.000148706
6000 0.00688634 -6.66667 0.00688634 6.66667 0.00670254 -13.3333 0.00670254 13.3333 0.00543919 0.00543919 0.000149093
6100 0.00689326 -6.66667 0.00689326 6.66667 0.00670944 -13.3333 0.00670944 13.3333 0.00544472 0.00544472 0.000149456
6200 0.00689974 -6.66667 0.00689974 6.66667 0.00671591 -13.3333 0.00671591 13.3333 0.0054499 0.0054499 0.000149797
6300 0.0069058 -6.66667 0.0069058 6.66667 0.00672195 -13.3333 0.00672195 13.3333 0.00545475 0.00545475 0.000150115
6400 0.00691147 -6.66667 0.00691147 6.66667 0.00672761 -13.3333 0.00672761 13.3333 0.00545928 0.00545928 0.000150414
6500 0.00691678 -6.66667 0.00691678 6.66667 0.00673291 -13.3333 0.00673291 13.3333 0.00546353 0.00546353 0.000150694
6600 0.00692175 -6.66667 0.00692175 6.66667 0.00673787 -13.3333 0.00673787 13.3333 0.0054675 0.0054675 0.000150955
6700 0.0069264 -6.66667 0.0069264 6.66667 0.00674251 -13.3333 0.00674251 13.3333 0.00547122 0.00547122 0.000151201
6800 0.00693075 -6.66667 0.00693075 6.66667 0.00674685 -13.3333 0.00674685 13.3333 0.0054747 0.0054747 0.000151431
6900 0.00693483 -6.66667 0.00693483 6.66667 0.00675091 -13.3333 0.00675091 13.3333 0.00547795 0.00547795 0.000151646
7000 0.00693864 -6.66667 0.00693864 6.66667 0.00675471 -13.3333 0.00675471 13.3333 0.005481 0.005481 0.000151848
7100 0.00694221 -6.66667 0.00694221 6.66667 0.00675827 -13.3333 0.00675827 13.3333 0.00548385 0.00548385 0.000152036
7200 0.00694554 -6.66667 0.00694554 6.66667 0.0067616 -13.3333 0.0067616 13.3333 0.00548652 0.00548652 0.000152213
7300 0.00694867 -6.66667 0.00694867 6.66667 0.00676472 -13.3333 0.00676472 13.3333 0.00548902 0.00548902 0.000152379
7400 0.00695159 -6.66667 0.00695159 6.66667 0.00676764 -13.3333 0.00676764 13.3333 0.00549136 0.00549136 0.000152534
7500 0.00695433 -6.66667 0.00695433 6.66667 0.00677037 -13.3333 0.00677037 13.3333 0.00549354 0.00549354 0.000152679
7600 0.00695689 -6.66667 0.00695689 6.66667 0.00677292 -13.3333 0.00677292 13.3333 0.00549559 0.00549559 0.000152815
7700 0.00695929 -6.66667 0.00695929 6.66667 0.00677531 -13.3333 0.00677531 13.3333 0.00549751 0.00549751 0.000152942
7800 0.00696153 -6.66667 0.00696153 6.66667 0.00677755 -13.3333 0.00677755 13.3333 0.0054993 0.0054993 0.000153061
7900 0.00696363 -6.66667 0.00696363 6.66667 0.00677965 -13.3333 0.00677965 13.3333 0.00550098 0.00550098 0.000153173
8000 0.0069656 -6.66667 0.0069656 6.66667 0.00678161 -13.3333 0.00678161 13.3333 0.00550255 0.00550255 0.000153277
8100 0.00696744 -6.66667 0.00696744 6.66667 0.00678344 -13.3333 0.00678344 13.3333 0.00550402 0.00550402 0.000153375
8200 0.00696916 -6.66667 0.00696916 6.66667 0.00678516 -13.3333 0.00678516 13.3333 0.0055054 0.0055054 0.000153467
8300 0.00697077 -6.66667 0.00697077 6.66667 0.00678677 -13.3333 0.00678677 13.3333 0.00550668 0.00550668 0.000153552
8400 0.00697228 -6.66667 0.00697228 6.66667 0.00678827 -13.3333 0.00678827 13.3333 0.00550789 0.00550789 0.000153633
8500 0.00697369 -6.66667 0.00697369 6.66667 0.00678968 -13.3333 0.00678968 13.3333 0.00550902 0.00550902 0.000153708
8600 0.00697501 -6.66667 0.00697501 6.66667 0.00679099 -13.3333 0.00679099 13.3333 0.00551007 0.00551007 0.000153778
8700 0.00697624 -6.66667 0.00697624 6.66667 0.00679223 -13.3333 0.00679223 13.3333 0.00551106 0.00551106 0.000153844
8800 0.0069774 -6.66667 0.0069774 6.66667 0.00679338 -13.3333 0.00679338 13.3333 0.00551199 0.00551199 0.000153905
8900 0.00697848 -6.66667 0.00697848 6.66667 0.00679446 -13.3333 0.00679446 13.3333 0.00551285 0.00551285 0.000153963
9000 0.00697949 -6.66667 0.00697949 6.66667 0.00679547 -13.3333 0.00679547 13.3333 0.00551366 0.00551366 0.000154017
9100 0.00698044 -6.66667 0.00698044 6.66667 0.00679642 -13.3333 0.00679642 13.3333 0.00551442 0.00551442 0.000154068
9200 0.00698133 -6.66667 0.00698133 6.66667 0.0067973 -13.3333 0.0067973 13.3333 0.00551513 0.00551513 0.000154115
9300 0.00698216 -6.66667 0.00698216 6.66667 0.00679813 -13.3333 0.00679813 13.3333 0.00551579 0.00551579 0.000154159
9400 0.00698294 -6.66667 0.00698294 6.66667 0.0067989 -13.3333 0.0067989 13.3333 0.00551641 0.00551641 0.0001542
9500 0.00698366 -6.66667 0.00698366 6.66667 0.00679963 -13.3333 0.00679963 13.3333 0.00551699 0.00551699 0.000154239
9600 0.00698434 -6.66667 0.00698434 6.66667 0.00680031 -13.3333 0.00680031 13.3333 0.00551754 0.00551754 0.000154276
9700 0.00698498 -6.66667 0.00698498 6.66667 0.00680094 -13.3333 0.00680094 13.3333 0.00551805 0.00551805 0.00015431
9800 0.00698558 -6.66667 0.00698558 6.66667 0.00680154 -13.3333 0.00680154 13.3333 0.00551852 0.00551852 0.000154341
9900 0.00698614 -6.66667 0.00698614 6.66667 0.0068021 -13.3333 0.0068021 13.3333 0.00551897 0.00551897 0.000154371
10000 0.00698666 -6.66667 0.00698666 6.66667 0.00680262 -13.3333 0.00680262 13.3333 0.00551939 0.00551939 0.000154399
10100 0.00698715 -6.66667 0.00698715 6.66667 0.0068031 -13.3333 0.0068031 13.3333 0.00551978 0.00551978 0.000154425
10200 0.0069876 -6.66667 0.0069876 6.66667 0.00680356 -13.3333 0.00680356 13.3333 0.00552014 0.00552014 0.000154449
10300 0.00698803 -6.66667 0.00698803 6.66667 0.00680399 -13.3333 0.00680399 13.3333 0.00552049 0.00552049 0.000154472
10400 0.00698843 -6.66667 0.00698843 6.66667 0.00680439 -13.3333 0.00680439 13.3333 0.00552081 0.00552081 0.000154494
10500 0.00698881 -6.66667 0.00698881 6.66667 0.00680476 -13.3333 0.00680476 13.3333 0.00552111 0.00552111 0.000154514
10600 0.00698916 -6.66667 0.00698916 6.66667 0.00680511 -13.3333 0.00680511 13.3333 0.00552139 0.00552139 0.000154532
10700 0.00698949 -6.66667 0.00698949 6.66667 0.00680544 -13.3333 0.00680544 13.3333 0.00552165 0.00552165 0.00015455
10800 0.00698979 -6.66667 0.00698979 6.66667 0.00680575 -13.3333 0.00680575 13.3333 0.0055219 0.0055219 0.000154566
10900 0.00699008 -6.66667 0.00699008 6.66667 0.00680603 -13.3333 0.00680603 13.3333 0.00552213 0.00552213 0.000154582
11000 0.00699035 -6.66667 0.00699035 6.66667 0.0068063 -13.3333 0.0068063 13.3333 0.00552234 0.00552234 0.000154596
11100 0.0069906 -6.66667 0.0069906 6.66667 0.00680655 -13.3333 0.00680655 13.3333 0.00552254 0.00552254 0.00015461
11200 0.00699084 -6.66667 0.00699084 6.66667 0.00680679 -13.3333 0.00680679 13.3333 0.00552273 0.00552273 0.000154622
11300 0.00699106 -6.66667 0.00699106 6.66667 0.00680701 -13.3333 0.00680701 13.3333 0.00552291 0.00552291 0.000154634
11400 0.00699127 -6.66667 0.00699127 6.66667 0.00680721 -13.3333 0.00680721 13.3333 0.00552307 0.00552307 0.000154645
11500 0.00699146 -6.66667 0.00699146 6.66667 0.00680741 -13.3333 0.00680741 13.3333 0.00552323 0.00552323 0.000154655
11600 0.00699164 -6.66667 0.00699164 6.66667 0.00680759 -13.3333 0.00680759 13.3333 0.00552337 0.00552337 0.000154665
11700 0.00699181 -6.66667 0.00699181 6.66667 0.00680776 -13.3333 0.00680776 13.3333 0.00552351 0.00552351 0.000154674
11800 0.00699197 -6.66667 0.00699197 6.66667 0.00680791 -13.3333 0.00680791 13.3333 0.00552363 0.00552363 0.000154682
11900 0.00699212 -6.66667 0.00699212 6.66667 0.00680806 -13.3333 0.00680806 13.3333 0.00552375 0.00552375 0.00015469
12000 0.00699225 -6.66667 0.00699225 6.66667 0.0068082 -13.3333 0.0068082 13.3333 0.00552386 0.00552386 0.000154698
12100 0.00699238 -6.66667 0.00699238 6.66667 0.00680833 -13.3333 0.00680833 13.3333 0.00552397 0.00552397 0.000154705
12200 0.00699251 -6.66667 0.00699251 6.66667 0.00680845 -13.3333 0.00680845 13.3333 0.00552406 0.00552406 0.000154711
12300 0.00699262 -6.66667 0.00699262 6.66667 0.00680856 -13.3333 0.00680856 13.3333 0.00552415 0.00552415 0.000154717
12400 0.00699273 -6.66667 0.00699273 6.66667 0.00680867 -13.3333 0.00680867 13.3333 0.00552424 0.00552424 0.000154723
12500 0.00699283 -6.66667 0.00699283 6.66667 0.00680877 -13.3333 0.00680877 13.3333 0.00552432 0.00552432 0.000154728
12600 0.00699292 -6.66667 0.00699292 6.66667 0.00680886 -13.3333 0.00680886 13.3333 0.00552439 0.00552439 0.000154733
12700 0.00699301 -6.66667 0.00699301 6.66667 0.00680895 -13.3333 0.00680895 13.3333 0.00552446 0.00552446 0.000154738
12800 0.00699309 -6.66667 0.00699309 6.66667 0.00680903 -13.3333 0.00680903 13.3333 0.00552453 0.00552453 0.000154742
12900 0.00699316 -6.66667 0.00699316 6.66667 0.00680911 -13.3333 0.00680911 13.3333 0.00552459 0.00552459 0.000154746
13000 0.00699324 -6.66667 0.00699324 6.66667 0.00680918 -13.3333 0.00680918 13.3333 0.00552465 0.00552465 0.00015475
13100 0.0069933 -6.66667 0.0069933 6.66667 0.00680925 -13.3333 0.00680925 13.3333 0.0055247 0.0055247 0.000154754
13200 0.00699337 -6.66667 0.00699337 6.66667 0.00680931 -13.3333 0.00680931 13.3333 0.00552475 0.00552475 0.000154757
13300 0.00699342 -6.66667 0.00699342 6.66667 0.00680937 -13.3333 0.00680937 13.3333 0.0055248 0.0055248 0.00015476
13400 0.00699348 -6.66667 0.00699348 6.66667 0.00680942 -13.3333 0.00680942 13.3333 0.00552484 0.00552484 0.000154763
13500 0.00699353 -6.66667 0.00699353 6.66667 0.00680947 -13.3333 0.00680947 13.3333 0.00552488 0.00552488 0.000154766
13600 0.00699358 -6.66667 0.00699358 6.66667 0.00680952 -13.3333 0.00680952 13.3333 0.00552492 0.00552492 0.000154768
13700 0.00699362 -6.66667 0.00699362 6.66667 0.00680957 -13.3333 0.00680957 13.3333 0.00552496 0.00552496 0.000154771
13800 0.00699367 -6.66667 0.00699367 6.66667 0.00680961 -13.3333 0.00680961 13.3333 0.00552499 0.00552499 0.000154773
13900 0.0069937 -6.66667 0.0069937 6.66667 0.00680965 -13.3333 0.00680965 13.3333 0.00552502 0.00552502 0.000154775
14000 0.00699374 -6.66667 0.00699374 6.66667 0.00680968 -13.3333 0.00680968 13.3333 0.00552505 0.00552505 0.000154777
14100 0.00699378 -6.66667 0.00699378 6.66667 0.00680972 -13.3333 0.00680972 13.3333 0.00552508 0.00552508 0.000154779
14200 0.00699381 -6.66667 0.00699381 6.66667 0.00680975 -13.3333 0.00680975 13.3333 0.0055251 0.0055251 0.000154781
14300 0.00699384 -6.66667 0.00699384 6.66667 0.00680978 -13.3333 0.00680978 13.3333 0.00552513 0.00552513 0.000154782
14400 0.00699387 -6.66667 0.00699387 6.66667 0.00680981 -13.3333 0.00680981 13.3333 0.00552515 0.00552515 0.000154784
14500 0.00699389 -6.66667 0.00699389 6.66667 0.00680983 -13.3333 0.00680983 13.3333 0.00552517 0.00552517 0.000154785
14600 0.00699392 -6.66667 0.00699392 6.66667 0.00680986 -13.3333 0.00680986 13.3333 0.00552519 0.00552519 0.000154787
14700 0.00699394 -6.66667 0.00699394 6.66667 0.00680988 -13.3333 0.00680988 13.3333 0.00552521 0.00552521 0.000154788
14800 0.00699396 -6.66667 0.00699396 6.66667 0.0068099 -13.3333 0.0068099 13.3333 0.00552523 0.00552523 0.000154789
14900 0.00699398 -6.66667 0.00699398 6.66667 0.00680992 -13.3333 0.00680992 13.3333 0.00552524 0.00552524 0.00015479
15000 0.006994 -6.66667 0.006994 6.66667 0.00680994 -13.3333 0.00680994 13.3333 0.00552526 0.00552526 0.000154791
15000 0.006994 -6.66667 0.006994 6.66667 0.00680994 -13.3333 0.00680994 13.3333 0.00552526 0.00552526 0.000154791
