# Timestep F_bot_x_ME F_bot_y_ME F_top_x_ME F_top_y_ME F_bot_x_SI F_bot_y_SI F_top_x_SI F_top_y_SI F_bot_x_FD F_top_x_FD Dissipation
0 6.13533e-05 -6.66667 6.13533e-05 6.66667 2.30075e-05 -13.3333 2.30075e-05 13.3333 1.8406e-05 1.8406e-05 2.64673e-10
100 0.00121531 -6.66667 0.00121531 6.66667 0.00105495 -13.3333 0.00105495 13.3333 0.000907838 0.000907838 1.11921e-06
200 0.00175584 -6.66667 0.00175584 6.66667 0.00158867 -13.3333 0.00158867 13.3333 0.00133867 0.00133867 3.32113e-06
300 0.00217175 -6.66667 0.00217175 6.66667 0.00200152 -13.3333 0.00200152 13.3333 0.00167068 0.00167068 6.23768e-06
400 0.00252275 -6.66667 0.00252275 6.66667 0.00235068 -13.3333 0.00235068 13.3333 0.00195105 0.00195105 9.72476e-06
500 0.00283203 -6.66667 0.00283203 6.66667 0.00265869 -13.3333 0.00265869 13.3333 0.00219818 0.00219818 1.36792e-05
600 0.00311123 -6.66667 0.00311123 6.66667 0.00293694 -13.3333 0.00293694 13.3333 0.00242132 0.00242132 1.80083e-05
700 0.00336697 -6.66667 0.00336697 6.66667 0.0031919 -13.3333 0.0031919 13.3333 0.00262573 0.00262573 2.26252e-05
800 0.00360326 -6.66667 0.00360326 6.66667 0.00342753 -13.3333 0.00342753 13.3333 0.00281461 0.00281461 2.74501e-05
900 0.00382273 -6.66667 0.00382273 6.66667 0.00364642 -13.3333 0.00364642 13.3333 0.00299004 0.00299004 3.24125e-05
1000 0.0040272 -6.66667 0.0040272 6.66667 0.00385037 -13.3333 0.00385037 13.3333 0.0031535 0.0031535 3.74508e-05
1100 0.00421806 -6.66667 0.00421806 6.66667 0.00404075 -13.3333 0.00404075 13.3333 0.00330607 0.00330607 4.25128e-05
1200 0.0043964 -6.66667 0.0043964 6.66667 0.00421865 -13.3333 0.00421865 13.3333 0.00344864 0.00344864 4.75549e-05
1300 0.00456315 -6.66667 0.00456315 6.66667 0.004385 -13.3333 0.004385 13.3333 0.00358195 0.00358195 5.2541e-05
1400 0.00471913 -6.66667 0.00471913 6.66667 0.00454059 -13.3333 0.00454059 13.3333 0.00370665 0.00370665 5.74418e-05
1500 0.00486506 -6.66667 0.00486506 6.66667 0.00468617 -13.3333 0.00468617 13.3333 0.00382331 0.00382331 6.22337e-05
1600 0.00500161 -6.66667 0.00500161 6.66667 0.00482239 -13.3333 0.00482239 13.3333 0.00393247 0.00393247 6.68983e-05
1700 0.00512939 -6.66667 0.00512939 6.66667 0.00494986 -13.3333 0.00494986 13.3333 0.00403462 0.00403462 7.14216e-05
