# Timestep Y UX UY RHO
# Timestep: 0
0 0 0 0 1
0 1 4.6015e-06 0 1
0 2 4.6015e-06 0 1
0 3 4.6015e-06 0 1
0 4 4.6015e-06 0 1
0 5 4.6015e-06 0 1
0 6 4.6015e-06 0 1
0 7 4.6015e-06 0 1
0 8 4.6015e-06 0 1
0 9 4.6015e-06 0 1
0 10 4.6015e-06 0 1
0 11 4.6015e-06 0 1
0 12 4.6015e-06 0 1
0 13 4.6015e-06 0 1
0 14 4.6015e-06 0 1
0 15 4.6015e-06 0 1
0 16 4.6015e-06 0 1
0 17 4.6015e-06 0 1
0 18 4.6015e-06 0 1
0 19 4.6015e-06 0 1
0 20 4.6015e-06 0 1
0 21 4.6015e-06 0 1
0 22 4.6015e-06 0 1
0 23 4.6015e-06 0 1
0 24 4.6015e-06 0 1
0 25 4.6015e-06 0 1
0 26 4.6015e-06 0 1
0 27 4.6015e-06 0 1
0 28 4.6015e-06 0 1
0 29 4.6015e-06 0 1
0 30 4.6015e-06 0 1
0 31 4.6015e-06 0 1
0 32 4.6015e-06 0 1
0 33 4.6015e-06 0 1
0 34 4.6015e-06 0 1
0 35 4.6015e-06 0 1
0 36 4.6015e-06 0 1
0 37 4.6015e-06 0 1
0 38 4.6015e-06 0 1
0 39 0 0 1

# Timestep: 100
100 0 0 0 1
100 1 0.000226959 7.49401e-16 1
100 2 0.000453024 7.59809e-16 1
100 3 0.000615409 7.18176e-16 1
100 4 0.000728324 7.25114e-16 1
100 5 0.000804192 6.76542e-16 1
100 6 0.000853362 7.59809e-16 1
100 7 0.000884049 6.93889e-16 1
100 8 0.00090246 6.9042e-16 1
100 9 0.000913063 6.14092e-16 1
100 10 0.000918914 5.96745e-16 1
100 11 0.000922003 4.57967e-16 1
100 12 0.000923561 4.68375e-16 1
100 13 0.00092431 3.22659e-16 1
100 14 0.000924653 3.19189e-16 1
100 15 0.000924803 2.22045e-16 1
100 16 0.000924864 3.05311e-16 1
100 17 0.000924888 2.35922e-16 1
100 18 0.000924897 2.84495e-16 1
100 19 0.0009249 2.22045e-16 1
100 20 0.0009249 0 1
100 21 0.000924897 -2.04697e-16 1
100 22 0.000924888 -1.52656e-16 1
100 23 0.000924864 -7.28584e-17 1
100 24 0.000924803 -1.17961e-16 1
100 25 0.000924653 -2.32453e-16 1
100 26 0.00092431 -1.73472e-16 1
100 27 0.000923561 -3.36536e-16 1
100 28 0.000922003 -3.1572e-16 1
100 29 0.000918914 -4.05925e-16 1
100 30 0.000913063 -2.81025e-16 1
100 31 0.00090246 -4.57967e-16 1
100 32 0.000884049 -4.78784e-16 1
100 33 0.000853362 -5.16948e-16 1
100 34 0.000804192 -5.82867e-16 1
100 35 0.000728324 -6.55725e-16 1
100 36 0.000615409 -7.11237e-16 1
100 37 0.000453024 -8.01442e-16 1
100 38 0.000226959 -8.18789e-16 1
100 39 0 0 1

# Timestep: 200
200 0 0 0 1
200 1 0.000334667 9.92262e-16 1
200 2 0.000691788 1.13451e-15 1
200 3 0.000977339 1.08247e-15 1
200 4 0.00120211 1.05818e-15 1
200 5 0.00137616 6.97359e-16 1
200 6 0.00150867 4.96131e-16 1
200 7 0.00160781 3.95517e-16 1
200 8 0.00168064 3.88578e-16 1
200 9 0.00173316 4.996e-16 1
200 10 0.00177032 3.53884e-16 1
200 11 0.00179609 5.10009e-16 1
200 12 0.00181361 2.77556e-16 1
200 13 0.00182528 2.18575e-16 1
200 14 0.00183289 1.52656e-16 1
200 15 0.00183773 1.52656e-16 1
200 16 0.00184073 4.51028e-17 1
200 17 0.00184253 1.17961e-16 1
200 18 0.00184352 6.93889e-17 1
200 19 0.00184396 1.07553e-16 1
200 20 0.00184396 1.49186e-16 1
200 21 0.00184352 3.46945e-17 1
200 22 0.00184253 -4.51028e-17 1
200 23 0.00184073 6.59195e-17 1
200 24 0.00183773 4.51028e-17 1
200 25 0.00183289 1.2837e-16 1
200 26 0.00182528 -7.28584e-17 1
200 27 0.00181361 -2.15106e-16 1
200 28 0.00179609 -5.27356e-16 1
200 29 0.00177032 -5.0307e-16 1
200 30 0.00173316 -5.34295e-16 1
200 31 0.00168064 -6.45317e-16 1
200 32 0.00160781 -8.22259e-16 1
200 33 0.00150867 -7.42462e-16 1
200 34 0.00137616 -7.18176e-16 1
200 35 0.00120211 -8.63892e-16 1
200 36 0.000977339 -9.88792e-16 1
200 37 0.000691788 -1.02349e-15 1
200 38 0.000334667 -1.11022e-15 1
200 39 0 0 1

# Timestep: 300
300 0 0 0 1
300 1 0.000417671 1.09635e-15 1
300 2 0.000876927 1.08247e-15 1
300 3 0.00126098 1.04083e-15 1
300 4 0.00157884 1.00267e-15 1
300 5 0.00183913 9.81853e-16 1
300 6 0.00204995 7.91034e-16 1
300 7 0.00221878 8.98587e-16 1
300 8 0.00235241 8.53484e-16 1
300 9 0.00245692 8.60423e-16 1
300 10 0.00253765 6.69603e-16 1
300 11 0.00259923 5.41234e-16 1
300 12 0.00264559 5.86337e-16 1
300 13 0.00267999 5.79398e-16 1
300 14 0.00270513 4.82253e-16 1
300 15 0.00272314 5.44703e-16 1
300 16 0.00273572 4.26742e-16 1
300 17 0.00274411 3.33067e-16 1
300 18 0.00274923 2.46331e-16 1
300 19 0.00275165 2.46331e-16 1
300 20 0.00275165 1.56125e-16 1
300 21 0.00274923 5.89806e-17 1
300 22 0.00274411 -4.85723e-17 1
300 23 0.00273572 -7.97973e-17 1
300 24 0.00272314 -1.73472e-16 1
300 25 0.00270513 -1.70003e-16 1
300 26 0.00267999 -3.26128e-16 1
300 27 0.00264559 -3.88578e-16 1
300 28 0.00259923 -5.41234e-16 1
300 29 0.00253765 -4.78784e-16 1
300 30 0.00245692 -6.14092e-16 1
300 31 0.00235241 -6.52256e-16 1
300 32 0.00221878 -7.32053e-16 1
300 33 0.00204995 -7.35523e-16 1
300 34 0.00183913 -8.70831e-16 1
300 35 0.00157884 -9.88792e-16 1
300 36 0.00126098 -1.06859e-15 1
300 37 0.000876927 -1.11369e-15 1
300 38 0.000417671 -1.08941e-15 1
300 39 0 0 1

# Timestep: 400
400 0 0 0 1
400 1 0.000487763 1.10675e-15 1
400 2 0.00103366 1.04777e-15 1
400 3 0.00150215 9.92262e-16 1
400 4 0.00190113 1.02002e-15 1
400 5 0.00223824 9.92262e-16 1
400 6 0.00252077 8.53484e-16 1
400 7 0.00275557 7.49401e-16 1
400 8 0.00294904 7.21645e-16 1
400 9 0.00310702 8.08381e-16 1
400 10 0.00323483 6.83481e-16 1
400 11 0.00333722 5.86337e-16 1
400 12 0.00341836 4.61436e-16 1
400 13 0.0034819 4.16334e-16 1
400 14 0.00353092 4.05925e-16 1
400 15 0.003568 4.05925e-16 1
400 16 0.00359524 2.28983e-16 1
400 17 0.00361428 1.56125e-16 1
400 18 0.00362631 9.71445e-17 1
400 19 0.00363213 1.42247e-16 1
400 20 0.00363213 -1.07553e-16 1
400 21 0.00362631 3.81639e-17 1
400 22 0.00361428 -2.39392e-16 1
400 23 0.00359524 -7.97973e-17 1
400 24 0.003568 -3.71231e-16 1
400 25 0.00353092 -1.76942e-16 1
400 26 0.0034819 -4.68375e-16 1
400 27 0.00341836 -3.36536e-16 1
400 28 0.00333722 -6.48787e-16 1
400 29 0.00323483 -5.86337e-16 1
400 30 0.00310702 -7.35523e-16 1
400 31 0.00294904 -7.97973e-16 1
400 32 0.00275557 -7.38992e-16 1
400 33 0.00252077 -7.80626e-16 1
400 34 0.00223824 -7.97973e-16 1
400 35 0.00190113 -9.64506e-16 1
400 36 0.00150215 -9.4369e-16 1
400 37 0.00103366 -1.09635e-15 1
400 38 0.000487763 -1.06859e-15 1
400 39 0 0 1

# Timestep: 500
500 0 0 0 1
500 1 0.000549544 1.20737e-15 1
500 2 0.001172 1.21431e-15 1
500 3 0.00171551 1.09288e-15 1
500 4 0.00218719 9.92262e-16 1
500 5 0.00259397 9.57567e-16 1
500 6 0.00294248 8.29198e-16 1
500 7 0.00323908 7.18176e-16 1
500 8 0.00348972 7.42462e-16 1
500 9 0.00369998 6.9042e-16 1
500 10 0.00387497 6.8695e-16 1
500 11 0.00401935 6.80012e-16 1
500 12 0.00413732 5.79398e-16 1
500 13 0.00423258 4.82253e-16 1
500 14 0.00430834 3.46945e-16 1
500 15 0.00436736 3.29597e-16 1
500 16 0.00441188 3.05311e-16 1
500 17 0.00444372 2.63678e-16 1
500 18 0.0044642 7.28584e-17 1
500 19 0.00447423 9.71445e-17 1
500 20 0.00447423 4.85723e-17 1
500 21 0.0044642 2.42861e-17 1
500 22 0.00444372 -1.21431e-16 1
500 23 0.00441188 -1.56125e-16 1
500 24 0.00436736 -1.9082e-16 1
500 25 0.00430834 -2.11636e-16 1
500 26 0.00423258 -3.26128e-16 1
500 27 0.00413732 -6.14092e-16 1
500 28 0.00401935 -5.55112e-16 1
500 29 0.00387497 -7.11237e-16 1
500 30 0.00369998 -6.73073e-16 1
