# Timestep F_bot_x_ME F_bot_y_ME F_top_x_ME F_top_y_ME F_bot_x_SI F_bot_y_SI F_top_x_SI F_top_y_SI F_bot_x_FD F_top_x_FD Dissipation
0 2.10902e-05 -1.83333 2.10902e-05 1.83333 1.58177e-05 -3.66667 1.58177e-05 3.66667 2.53082e-05 2.53082e-05 9.09812e-11
100 0.000553417 -1.83333 0.000553417 1.83333 0.000491454 -3.66667 0.000491454 3.66667 0.00113136 0.00113136 1.64149e-07
200 0.000568956 -1.83333 0.000568956 1.83333 0.000505725 -3.66667 0.000505725 3.66667 0.0011632 0.0011632 1.74364e-07
300 0.000569421 -1.83333 0.000569421 1.83333 0.000506152 -3.66667 0.000506152 3.66667 0.00116415 0.00116415 1.74674e-07
400 0.000569435 -1.83333 0.000569435 1.83333 0.000506165 -3.66667 0.000506165 3.66667 0.00116418 0.00116418 1.74684e-07
500 0.000569436 -1.83333 0.000569436 1.83333 0.000506165 -3.66667 0.000506165 3.66667 0.00116418 0.00116418 1.74684e-07
600 0.000569436 -1.83333 0.000569436 1.83333 0.000506165 -3.66667 0.000506165 3.66667 0.00116418 0.00116418 1.74684e-07
15000 0.000569436 -1.83333 0.000569436 1.83333 0.000506165 -3.66667 0.000506165 3.66667 0.00116418 0.00116418 1.74684e-07
